customer_message,amazon_reply,predicted_intent
"@AmazonHelp Still no show from your delivery partner, despite many communications with customer representative delivery partner did not call us.",@414422 I'd like to look into this. Could you please confirm if you've shared the details in the link provided (1/2) ^MO,Delivery Issue
@AmazonHelp __email__ is my registered mail id check through this if u want to help,"@318463 Kindly fill in your details in the link provided earlier, we'll look into it and get back to you soon.  2/2 ^EM",Account/Security Issue
@AmazonHelp Same blame game.i did needful from my side .pleaseeeeee check you mail before reply such things.,@340721 Being a social platform we can't access your account over twitter. Kindly respond to our latest correspondence. ^MA,Other/Unclear
@AmazonHelp Shut the fhuck up chuck just explain to me how i can get a refund or a new one,"@518274 As Chuck said, that link takes you to the returns center. All refund/replacement options will show when you set up the return. ^AJ",Refund/Return Request
"@AmazonHelp I'm confused about designations of ""Guaranteed Delivery in 2 days"" with Prime. Now I get ""Sorry, delayed"" on my order.",@523806 I'm so sorry about the delay! What does the most recent tracking show here? https://t.co/Y5jpI9gRhE ^TK,Delivery Issue
"@AmazonHelp  useless delivery boys spoiling customer satisfaction. Order not being delivered, not even attempted and we are getting  1 of 2 https://t.co/sRcgqb06gM",@351670 Apologies for the delay in delivery. Please fill in your details here : https://t.co/GIJyeYqKE0. We'll connect with you. 1/2 ^AS,Delivery Issue
#apptreasurehunt @115850 Yahoo successfully cracked my bag https://t.co/8m9jcJP84z,@215892 Wow! Congratulations. :) ^HK,Other/Unclear
"@AmazonHelp Once again, it says attempted delivery. Nobody buzzed my flat. I've been home the entire time! #deliveryfail",@450691 We'd like to look into this further with you. Please provide details here: https://t.co/FZlwf9hIlH so we can further assist. ^MT,Delivery Issue
"@AmazonHelp Following up on this, I spoke to someone via amazon chat for an HOUR and nothing he said he'd do has happened!",@136281 Oh no! That's certainly not what we hope to hear. What information was provided when you spoke with us about this? ^MB,Other/Unclear
@115830 what moron thinks that a bin is an adequate delivery place especially as there was someone home all day? #notacceptable https://t.co/78D3VN525f,@599859 Oh no! That's not what we strive for! Please give us a ring here: https://t.co/JzP7hlA23B so we can look into this. ^TR,Delivery Issue
@AmazonHelp @115850  sent a replacement SATA IDE a month after order delivered disguised as new order Now Bludart not picking up the pkg,@202476 I'm sorry but I couldn't follow that. Could you please rephrase and elaborate on that?  ^HA,Delivery Issue
@AmazonHelp @AmazonHelp @115850 I am looking for a call and not any emails. Emails are just a way to fool customers. First a call and then an email,@173344 I've noted your comments and passed it internally. We'll get back to you soon. ^PS,Other/Unclear
@AmazonHelp It was supposed to be delivered with USPS,@807090 We'd be happy to look into available options with you. Please reach out to us by phone or chat here: https://t.co/EKXRLsnxJu ^JN,Delivery Issue
@AmazonHelp I have ordered some products and have received in the past. Only problem is with electronics item. Anyway Thank you. Indeed I'm disappointed,@379755 I get your disappointment. We'll be sure to work on your feedback. ^SG,Damaged/Defective Item
@115821 @117795 You guys keep saying my prime storage is over quota but I have no videos uploaded. How do I turn OFF video upload?,"@191774 Hi, sorry. Do you have devices registered to your acc? You can find info about Amazon Drive here:https://t.co/kQM4oIzqOz.^JJ",General Product/Service Question
@AmazonHelp Shared the details. Any quick help is much appreciated.,@688087 Thank you for sharing your details. We've received them and will get back to you at the earliest. ^AU,Other/Unclear
@AmazonHelp I have and they either don’t reply or say it’s sent! They are selling under the amazon name! Since when did amazon become like eBay? It’s too late to re order for my wedding now,"@315042 Hey Donna, I'm really sorry! Was the order fulfilled by Amazon? ^AT",Delivery Issue
Yo @115821 tell me how this happens?!? Now a one-in-a-lifetime holiday surprise is RUINED!!! #amazon #blatantlies https://t.co/Ngoj6t4KbA,@781282 Oh no! I'm sorry your tracking shows your order arriving later than expected! We'd like to look into this with you and see what options we have available. Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^BN,Other/Unclear
"@AmazonHelp i got an email that my package is delayed, making this 4 day shipping instead of 2 day 🙃","@534221 When was the appointed delivery date for this current order? Also, who is the carrier? You can find this information listed via this link: https://t.co/Y5jpI9gRhE ^WM",Delivery Issue
@AmazonHelp Jesus Christ can I get the past 15 minutes of my life back!? Your customer service sucks!,@316802 I'm so sorry for the poor experience! Can you tell us a little more about what led you to contact us today? We'd like to help if possible. ^GS,Other/Unclear
Amazon  order # 171-3513893-7891514. I requested for return. Now it is going to be 15 days but till now it hasn't been pickup. @115821.IN,@219482 Kindly fill in your details here: https://t.co/GIJyeYqKE0 and I'll look into it. ^NR 2/3,Refund/Return Request
@AmazonHelp Okie already sent you but not received any response ....,"@656688 As mentioned earlier, kindly contact your bank customer care for further assistance. The resolution provided is the best we can offer. We won't be able to provide any further insight on this. Appreciate your patience. ^GD",Other/Unclear
I have an idea @115830 @24104 when @6841 say they can’t deliver why not get Proof picture of house/ label ? #Lies #RipOff https://t.co/oYld7CKtnI,@310700 Hey Tony - are you having issues with an Amazon delivery ? ^TD,Delivery Issue
@AmazonHelp Noted and apologies for the mistake,@217957 Could you please confirm if you've reported this to our support team from the link shared earlier? ^HN,Other/Unclear
Hey @115821 @AmazonHelp I really love learning the music on your hold calls. Seriously five times calling about the same package? What's the point in prime. 3 packages I've had to call about in the last couple weeks,"@385262 So sorry to hear about the repeat issues! If the situation isn't resolved on your current call, please provide your information here so that our team can reach out to you: https://t.co/RtmL8gViAb ^GS",Delivery Issue
@AmazonHelp Done they say the wrong van picked it up and sent it elsewhere?!,"@234418 Thanks for keeping us posted! Did they give you a new delivery date? We want to wait with you, so keep us in the loop. ^FR",Delivery Issue
@117795 thank u for allowing us people to feel more entitled then we already do I want my stuff now &amp; when I mean now I mean Sunday,@380638 W/out giving account info can you tell us what's going on? Did an order not arrive on time here: https://t.co/Y5jpI9gRhE? ^JM,Delivery Issue
"@115830 Thanks Amazon... ""guaranteed next day"" to be told it'll arrive on the 8th. Disgusting treatment by customer service team",@475257 Sorry to hear that!  What options or insight was provided when you contacted us? ^CH,Delivery Issue
@115850 @AmazonHelp @93294 @123288 please make a note of dis complaint #AmazonGreatIndianFestival is known 4 Quality! Please replace! https://t.co/J63X5wUE0i,@182305 I’m sorry about the issue you’re facing with the product. Let us look into it. (1/2)^HR,Damaged/Defective Item
@AmazonHelp Look I'm not calling Amazon I have to get some sleep i have to.be at work at 4 in the morning. I don't have the time to deal with your non American customer service representatives I've been route and learned my lesson it took forever and was hung up on by your representative,"@223999 We'd like to make sure you're taken care of. For the quickest and best solution, please reach out to us via the link provided at your earliest convince. ^AR",Other/Unclear
"@AmazonHelp Thanks, appreciate it.",@307926 You are welcome. Thank you for shopping with us. ^AU,Other/Unclear
@AmazonHelp why are my orders from Stoughton facility sent out and delayed at end of day? It's 10 miles away!,@424637 I'm so sorry about this delay! We want to help! Who was the carrier for this shipment?: https://t.co/Y5jpI9gRhE ^SD,Delivery Issue
@AmazonHelp See..my order got cancelled from your side mistakenly and I am in need to have these products any how on Wednesday to gift someone..!,@423940 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,Delivery Issue
@116618 my starz subscription is messing up. It won’t let me watch episodes 3-16 of season 1 of outlander. It says i need to purchase them when they should be included!! Help!!!,"@149999 Hey Catherine, have you tried to sign in and out to see if that fixes it? ^BD",General Product/Service Question
"@AmazonHelp No one got in touch and I am not getting any help. Even blocked from receiving calls. Will file a case against Amazon,if no resolution given","@748043 We are working on it, please allow us sometime and we will get back to you at the earliest. ^AH",Other/Unclear
"@AmazonHelp Now i will just stop using @115850 and would share my posts with my friends and suggest them to not use @115850 
My last tweet
Thankyou","@388804 I understand your disappointment. Please be assured, we'll be able to assist you once we receive your email revert. (1/2) ^GS",Other/Unclear
"@115830 Hi, i have purchased the below as prime delivery but showing as to b delivered on 15/11? https://t.co/HNV69fyXmQ",@187112 Sorry for the wait! Our delivery times are meant for after the order has dispatched. There are many factors that may cause an item to take longer than expected to dispatch. You can learn more about this here: https://t.co/BIq7OknVw6 ^TH,Delivery Issue
"Worst courier services in the market @115821  amazon transportation services, please contact seller,ask for other services other than ATS.",@198898 I'm sorry to hear this! We would like to look into this futher. Please contact us here: https://t.co/JzP7hlA23B ^AC,Delivery Issue
"@115850 There is an error answering question 9 
Pls check team https://t.co/Bp1kYAQdwC","@181440 Hetal, all the questions and answer in the promotion are correct. However all the best. ^HR",Other/Unclear
@AmazonHelp Just “Not yet dispatched. We'll e-mail you when we have a delivery date”,"@652172 Have we missed the estimated delivery date given at checkout? If you're unsure, you can click here: https://t.co/qFnIeXPYHz to view your confirmation e-mail. ^NM",Order Status/Tracking Inquiry
"@AmazonHelp I ticked the box to say I wanted Amazon packaging and not the item on show. Had another item delivered today in no box, what's going on??","@470333 That's very odd! Let's take a look at this in real-time, Vicky! Please reach out to us here: https://t.co/JzP7hlA23B ^HM",Delivery Issue
@AmazonHelp No date specified for either item.,@465374 We would like to take a look at the items you pre-ordered. Can you provide links to the products on the Amazon website? ^JS,Order Status/Tracking Inquiry
@115830 Was asking about product availability from amazon fresh- your online assistants weren’t helpful &amp; rude,@382816 Please allow us a chance to resolve this for you once more. Get in touch via phone or chat here: https://t.co/JzP7hlA23B ^RL,General Product/Service Question
@AmazonHelp Why don't you have Suits season 6 all episodes? Only 10 available. No season 7 too,@481389 We will let you know when these episodes are back. We’re really sorry for the inconvenience caused. (2/2)^MN,General Product/Service Question
@AmazonHelp bt y it gt ddctd ? I alrdy did it months back. It makes no sense. Every sngle time i need to mail you. @67182 @28320 @115851,"@338682 We understand there has been an inconvenience. However, for us to assist you better,(1/2) ^VM",Other/Unclear
@AmazonHelp Okay....what information do you need to be able to help then???,"@117498 Hi, is the book listed as sold or fulfilled by Amazon? If so, please get in touch with us via the link ^GM provided. ^TS",General Product/Service Question
@AmazonHelp There is no provision to make a reply...Why aren't you replying my question on amazon pay balance??? @115851 - #amazonsucks,@121656 Please check the link above and reply to our email. You will have an option to reply to the email. ^PS,Billing/Charge Issue
@AmazonHelp @118919 @123644 why you become scam...please refund my amount urgently..,"@224596 Please don't provide your account details, we consider it to be personal information. Our page is visible to the public. (2/2) ^KA",Refund/Return Request
"Great. Same package from @115821 was supposed to have another book in it which is MIA. Look at how to find missing packages, wait 36 hours... Boo!","@469259 I'm sorry you're missing a book! Were they supposed to be in the same box? If so, please reach out to us so we can look at options with you: https://t.co/aEFAIeKouw ^AM",Delivery Issue
"@115850 Pickup Time: 
Wednesday, Sep 27, 2017, 07:00 - 10:00 Pickup Tracking ID: 
710385220626...picked up long ago. but dint refund.",@201984 Please don’t provide your details as we consider them to be personal information. Our Twitter page is visible to public. ^YP,Refund/Return Request
"@AmazonHelp I don't care what you think about it, I care about whereabouts of my order",@206573 Sorry for the disappointing experience you've had. Could you confirm if you've filled in your details as asked above?^MM,Order Status/Tracking Inquiry
@AmazonHelp Your customer service team are trained to fob people off! And your drivers don’t even attempt to deliver. It is supposed to be re delivered this morning....no items yet!  Can I send @115830 a bill for my wasted time? #takesthepiss 7 items this week have been cocked up!,"@528899 This isn't at all the experience we strive to provide, truly sorry for any inconvenience! We don't have access to your account or details via Twitter but we'd still like to help. Please give us another chance and let's look into this together: https://t.co/JzP7hlA23B ^TG",Delivery Issue
"When your @115821 Kindle Fire Tablet falls off the bed and you can't get the screen back in the casing, but you can still use it. Wtf",@209085 Have you had a chance to speak with someone from our Kindle team here: https://t.co/hApLpMlfHN? ^JF,Damaged/Defective Item
@AmazonHelp When I look at details of delivery yesterday now shows it arrived at amazon facility. It was supposed to be delivered yesterday.,@621238 Thanks for the info! Is there a new delivery date given or is it still showing yesterday as the expected date of delivery? ^TM,Delivery Issue
@AmazonHelp I already replied,"@120469 Thanks for the update, we've received your reply to our correspondence. We'll get back to you at the earliest. ^SC",Other/Unclear
"@115821 fix it, when they should be trying to solve the problem before someone actually uses my account to buy something.",@442791 Sorry for the trouble w/ your account. Have you had a chance to reset your password w/ us here: https://t.co/CLCsiiotrq? ^KP,Account/Security Issue
@AmazonHelp I got an Echo Plus with one hour delivery &amp; I got here in less than half an hour 👍🏽,@635744 Awesome! That's one speedy delivery. We hope you enjoy! ^TG,Other/Unclear
Really upset with @AmazonHelp and @115821 today. Their level of service has been atrocious regarding my @4263 Mavic purchase. I may just return it and purchase it directly from @4263. And cancel my Amazon card.,"@153405 I am very sorry to hear you're upset with the service you have received so far. We're here to help, Paul. Without giving any sensitive account/personal information, can you tell us more about what's going on?",Refund/Return Request
"@AmazonHelp have emailed &amp; phoned regarding my recent order being cancelled and still no help, pls can someone look into it?","@131806 Sorry to hear that, Ruby. Without revealing any personal information, can you tell me a bit more about the issue?^TI",Order Status/Tracking Inquiry
"Amazon Prime got soo fucking expensive...
34€ is a lot for me okay and I totally forgot to cancel my plan before they took my money 😑",@432080 Hey there! I'm sorry about the unexpected charge to your account! Were you able to cancel this &amp; be refunded for Prime? ^FR,Billing/Charge Issue
"@AmazonHelp From amazon, both items were from the same order but separately boxed (as i couldn’t print one returns label) so it’s cost me £8","@146750 Hey Alice, on the bottom of this page: https://t.co/dN8A337dkS you'll see scenarios when the postage will be refunded to you. If you match any of those email us your postage receipt: https://t.co/JzP7hlA23B and we'll have that refunded for you.^MA",Billing/Charge Issue
So much for a discount !! Selling pirated copy of little bets @118919 @115821. Price tag of 499 and invoice of 671 !!! Pathetic https://t.co/88C7rpkzcB,"@787640 I get your query, there may be cases where M.R.P. of the product delivered is different from the M.R.P. given on the website due to various reasons including time lag in updating prices post changes in M.R.P., product belonging to 1/2 ^SH",Other/Unclear
"@115830 ""If your battery is damaged/defective...do not return it to Amazon"" goes against advice I'm being given in chat. What to do?",@366642 This does not sound right Tony. Can you provide a link to the item in question? Is the item sold via a seller or Amazon? ^TP,Damaged/Defective Item
@119625 (2) please update the list of your season for ben 10. So we dont misguided,@426420 Thank you for bringing this to our notice. We'll definitely forward this to the concerned team internally for a review. ^SK,General Product/Service Question
@AmazonHelp I'm afraid the link is not working https://t.co/UPGRot4RRk,"@656309 I apologize for the incorrect link, you can reach us here: https://t.co/JzP7hlA23B ^NC",Other/Unclear
"@115850 
Dear sir 
Can u call me I need your help.
Mobile no.8285866129","@296317 here: https://t.co/2t6DQoUmNZ. Please don't provide your phone number here, as we consider it to be personal information.2/2^AP",Other/Unclear
@AmazonHelp Yes it keeps happening lately. Used to be great but now not good. I am beginning to feel I can’t trust delivery for anything important.,@695038 This certainly isn't what we strive for! Have you noticed this happening more with a certain carrier or multiple? ^HC,Delivery Issue
@AmazonHelp Okk.. but plese try to give COD option in every product,@182946 Iv'e forwarded your comments as feedback to the concerned team for review. ^HA,General Product/Service Question
Anyone else charged multiple times this week for an @115830 Prime account they didn't take out?,@158241 Have you tried cancelling it through your account Bonnie? https://t.co/KisXmh4pk0 ^KM,Billing/Charge Issue
"@AmazonHelp Order date
03-Sep-2017

Order #
403-5721092-5101156

Plz check order no. And refund my money,

Order time 1 month above.
Tshirt not deliver",@123622 Every canceled order is followed up with an email explaining the reason why. Request you to check the same.  1/3^SB,Refund/Return Request
Anybody else having issues with Amazon on a mobile platform lately? Been trying for several days to get anything... https://t.co/qKK0nnlPvU,"@273611 I'm sorry to hear about the trouble you've been experiencing on mobile, Phoebe! We'd like to help the best we can. Can you let us know what device you're using to access Amazon? ^FD",Other/Unclear
"Hey @115821 i bought a NEW (according to ur website) book, opened it and saw this... what’s up with that??? https://t.co/HVcA0qn8zv",@412058 I'm so sorry for this issue. This is not the service we strive for. Can you tell us if this order was placed through a seller? ^HM,Damaged/Defective Item
@AmazonHelp I send you a DM,@142943 I responded to your DM. ^SJ,Other/Unclear
"Totally my fault, but I didn't catch that my @115830 delivery was going to my old address and now can't seem to get the package back!",@767524 I'm sorry for the trouble with your order. We typically attempt delivery 2-3 times before returning. Phone or chat with us to review options for your order here: https://t.co/JzP7hlA23B ^AN,Delivery Issue
@115850 How do we get selected for this? I have participated every time but never won 😕,@199297 Winners are selected randomly and results will be announced accordingly. Kindly stay tuned. ^PS,General Product/Service Question
"@115850 @115850 am fed up of ur automated email replies, ur Customer Service associate r sleeping for 13 dys and have no clue where my refund is.",@193748 We have responded to your concern here: https://t.co/7L4cy0Yqvn. ^SQ,Refund/Return Request
"@AmazonHelp Yes, every time. They refresh the account, but it still cancels. It's let one thing through, so I know it SHOULD allow it. Just very odd.",@331695 Please reach out to us here:https://t.co/hApLpMlfHN so we can investigate this further for you! ^SA,Account/Security Issue
On the name of #greatindiansale @115850 cheated with customer. I pay 20999 but order cancelled by @115850 and I would be charged 4 EMI.,@355294 Please share your details here: https://t.co/GIJyeYqKE0 and I'll get in touch with you. 2/2 ^HD,Billing/Charge Issue
@AmazonHelp This is what I see. https://t.co/rMoZxns6m2,"@220840 Thank you for sharing the screenshot, truly sorry for the wait! Just to confirm, is this order being shipped by Amazon or a third-party seller? Check: https://t.co/Y5jpI9gRhE and please, let us know. We're here to help! ^JE",Other/Unclear
Dear @115850 is not arriving early. It's late by week. https://t.co/z6fe4NofIv,@292292 Could you please help us with the estimated delivery date which was shared at the time of placing the order?,Delivery Issue
@AmazonHelp I had a call wid customer care. Dey told me it will get reflected in a month. But it hasn't. Kindly frwd my req to appropriate department.,"@191018 We'd like to take a closer look at this, please drop in your details here: https://t.co/GIJyeYqKE0 and we'll check this. ^MS",Refund/Return Request
@AmazonHelp updated in your link as well. Please check it.@115850 https://t.co/luFPIEi7zH,"@153834 We haven't yet received your details yet. Kindly share the details here: https://t.co/GIJyeYqKE0 again and we'll look into this.

Please don’t provide your order details as we consider them to be personal information. Our page is visible to public. ^RB",Other/Unclear
Ok so despite verbally confirming the price and a subsequent email @115830 are cancelling the order? I think not.,"@739385 I'm sorry for any troubles caused, Rob. Without sharing personal account information, could you let us know what happened with your order? ^TH",Other/Unclear
How does an @115821 warehouse employee mistake three LSAT practice test books with a 2XL t-shirt?,@643155 I'm so sorry we've let you down; that's never our intent! We'd like to take a closer look into this and explore options with you. Please reach us by phone or chat when you have a moment for direct assistance: https://t.co/hApLpMlfHN ^LL,Other/Unclear
@AmazonHelp It took 11 days still package has not arrived . It showing attempt was failed. If I contact costumer care it showing ur number was blocked. Wat is this @115850 ??? https://t.co/Df5fDXvsVM,"@230834 Sorry about the delay in the delivery. You can contact our support team through :https://t.co/2t6DQoUmNZ via chat or email, and we will ensure to do the needful. ^PR",Delivery Issue
@AmazonHelp Why do your prime items show 2-day shipping and then got to 4 or 5 days once the order is placed? That’s false advertising!!,@628296 Prime Two-Day Shipping refers to the transit time after the item is ready to ship. Have we missed the delivery date given? ^MW,Delivery Issue
@115850 my order of 4 items i hd rcvd 3 10 days ago still one missing Order #406-3971997-7415546,"@198997 I'm sorry to know that. We'd like to look into this, kindly report this issue to our support team here: 1/3 ^EM",Delivery Issue
@AmazonHelp What details and how many more time. My name is srikant Pai &amp; registered mail is __email__. I hope this should be enough. I do not mind to share it here as I do not have anything to hide,"@270757 Twitter being a social media platform, we wouldn't be able to access your account directly. As requested earlier, please share your details so that we can help you accordingly. Please don't provide your personal details as our Twitter page is public.​ ^NK",Account/Security Issue
@120533 definitely NOT the service I was used to in the US @AmazonHelp Experience horrible!,"@648476 Hello, I have already answered your tweet. ^SM",Other/Unclear
@115821 Order number 407-9742648-694992... Spoiled the moods family members told not to take risk by ordering online and they were correct.,@548123 Apologies for the trouble with the delivery of the order. I'd like to take a closer look at this. ^AK (1/3),Damaged/Defective Item
@AmazonHelp Yep but the status on the account says you’ve not received it yet. I sent it recorded delivery.,"@742145 Did the carrier provide any tracking details? If so, does the tracking state we've received your parcel? ^RA",Order Status/Tracking Inquiry
@115850 Dear Mr Tiwari Thank you so much for helping in my case regarding bank details problem is resolved thanks best RegardsMadhuBhatia,@170847 Glad to know your issue is resolved. Please let us know for any assistance we would help you. ^BS,Other/Unclear
"@AmazonHelp I bought sony headset,its mic not upto mark, now option of return.only replacement possible.no info of pick up",@184642 Sorry to know the item didn't meet your expectation. Kindly connect with us here: https://t.co/PaVHCzKe9C and 1/2 ^SH,Refund/Return Request
"a month @115821 cant verify police report for missing package, told someone would call to verify the report monday. been 4 mondays i just got another ""Lashonta: I will contact the police department and verify the police report. I promise to resolve this issue for you on Monday.""","@253801 I'm so sorry for this frustrating experience! Without giving account specifics, can you tell us a little more about what's been going on? We're here to help! ^HS",Delivery Issue
@AmazonHelp I meant i am going on vacation  to India. Hence I just wanted to know if I can access prime videos from there?,"@281032 Due to licensing we're only allowed to show most of the content in Germany and Austria only, but you can watch the following shows even when abroad: https://t.co/uq11xAMnq2 Have a nice trip to India! ^UK",General Product/Service Question
@AmazonHelp Spoke with a nice lady at helpdesk. Do something about your Pune courier guys. Habitual liars. Flipkart's  are totally professional!,@504205 I get your concern. I'll be sure to pass on your feedback internally. ^PS,Delivery Issue
@AmazonHelp to my order 405-2015986-5040335 Casio watch not deliverd. Tried call /Email to amazon - didnt work.. 4 days now &amp; havnt receivd,"@402585 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^BV",Delivery Issue
"@AmazonHelp Thanks for the assistance, was able to get the problem solved and I'm satisfied with the response and help.",@184605 You're welcome :) We are glad the issue is resolved. Please keep us posted for any assistance. ^BS,Other/Unclear
@117634 how do I make this Paperwhite not skip chapters. I miss my DX. Having to hold this a special way just to not turn pages sucks,"@466638 Hi, can you tell us more about what's happening please? You can find Paperwhite info here: https://t.co/QNiwswt7FI ^TS",General Product/Service Question
@AmazonHelp The Alexa app is not available in the Dominican Apple store. https://t.co/JEG3QDNef4,"@396646 I apologize, but since the Alexa app is not available in the Dominican Apple store, you would not be able to properly set up your Echo Dot. ^VF",General Product/Service Question
@AmazonHelp This was the last update before I called amazon customer service today and that's when I found out it was lost.  I would of appreciated being notified of a lost or missing package instead of waiting for a package that was never coming. https://t.co/4lK4C9GKm3,@744264 I understand where you're coming from and I'm sorry we let you down. Were we able to provide any options or information for you due to the loss of this package? We want to make sure you get taken care of! ^KJ,Delivery Issue
@AmazonHelp HII I ordered something on the 19th and it says it is been returned to Amazon due to damage but I'm still waiting for my refund? https://t.co/nLiRaU2KpK,"@799763 Hi Roberto, sorry to hear that. It can take 2 - 3 weeks for items being returned to make their way back to be processed and refunded. You'll receive an email from us once your return has been received and your refund is issued.^TI",Refund/Return Request
"@AmazonHelp Someone placed order on Amazon with ""From &amp; To"" name of my friend and delivery address same as sender n recipient.","@188734 Support team from the link provided to you earlier. Please don't provide your order details, we consider it to 2/3^SC",Account/Security Issue
"@115850 no delivery after 7 days of fake promises.. this is not what is expected from a brand that is ""Trusted By Crores ofIndians"" https://t.co/1uAiBMCTVs",@132725 That's not cool; I'm so sorry to learn about the delay with the delivery. We never want you to experience this.  Allow us to sort this for you by sharing your details here: https://t.co/GIJyeYqKE0. We'll check and reach out to you with an update. ^VN,Delivery Issue
@AmazonHelp due to a billing address mistake and though I tried to rectify it have received no confirmation and have no way of following up! https://t.co/SVvi9Y4W4U,"@313377 I'm sorry for the account issues, Kim. Have you received an e-mail from an Account Specialist regarding your account? ^CE",Billing/Charge Issue
"@115851 @148213 @117634 Changed my reading habits, couldn’t be happier with my paperwhite","@774359 “For one who reads, there is no limit to the number of lives that may be lived, for fiction, biography, and history offer an inexhaustible number of lives in many parts of the world, in all periods of time.” ― Louis L'Amour 
Happy Tuesday! ^DA",Other/Unclear
@AmazonHelp Fucking assholes i want product not emails. Emails are not going to solve my problem already replied to you mail u dumb people. https://t.co/iikwIJTz5Z,"@295979 That's quite a comment, Jatin. As previously mentioned, you'll need to reply to the email sent by our team for more help. ^RS",Other/Unclear
@AmazonHelp amazon sent me something I didn’t order ? iPhone 8 protection case that is flimsy ? Didn’t order anything? This free ?,@378837 Thank you for letting us know you received something you didn't order! Was this a gift that someone sent you from Amazon? ^JF,Refund/Return Request
@115850 I didn’t get any return confirmation msg/email after 2 hours returning product to blue dart guys.,@183288 support team here: https://t.co/vlvfJr4nN9 2/2 ^OS,Refund/Return Request
"@AmazonHelp Iam not happy with your service, worst people in Chennai customer care service,your delivery service is poor now",@351660 I'm sorry for the inconvenience in delivering your order. 1/2 ^MJ,Delivery Issue
"When @115821 sends you the wrong package..... 
I was expecting a doggie gate for my pup 🐶 and ended up with a BANJO 🎸.
#samethingright #linusthelittleman #linuslearnsthebanjo",@609589 I am so sorry for the mix up! When you have a second you can check out your return options here: https://t.co/IkZF82De1D ^LS,Other/Unclear
@AmazonHelp have just had an email saying it is delayed and could take another 4 days  not impressed waited in all day,"@766782 Late parcels typically arrive within 24 hours of their original delivery date. If not received tomorrow, or if you prefer direct order assistance, please phone or chat with us here: https://t.co/JzP7hlA23B ^AN",Delivery Issue
@AmazonHelp @115850  guys ur such gestures win customers....love to shop with u guys.. anyway @32160 is not accepting wht they did..lev,@182987 We're glad you liked our services. Do keep us posted for any further concerns. ^SQ,Other/Unclear
@AmazonHelp No good if signature required. So annoying,"@582710 I'm sorry for the frustration, Adam. Some items are age restricted, and these items will require a signature. You can learn more about this here: https://t.co/nAeYdT9aGR. ^WJ",Delivery Issue
"@115850 Worst experience. Inspite of constant reminders,no action taken from your side. Order id #926100803443, delayed by 2 days. :/",@322920 Please don’t provide your order details as it is personal information. Our page is visible to the public.2/2^HN,Delivery Issue
"@AmazonHelp Thank you, but feels futile; as there'll be no happy out come from filling out a contact us form for a concert that has now sold out.",@687215 Apologizes for any disappointment caused Peter. ^NV,Other/Unclear
"@119625 - Hey guys , been a Prime member and you guys have awesome collection of movie , just wanted to check out when the #Bankchor will be released on Amazon Prime . It's a part of YRF catalog.",@206571 We will continue to add new content. Keeping checking https://t.co/FYM9PIZOR8 where we highlight the latest movies and TV shows we have available. ^SH,General Product/Service Question
"@AmazonHelp Yes, customer is at fault for not being at office location at 6.21 pm.",@389292 We'd like to help you with this. Please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly. ^MO,Delivery Issue
@AmazonHelp So still not interested?,"@307929 We've crosschecked and see that the information provided to you in the email is the best we could offer. Unfortunately, wouldn't be able to provide any further insights in this regard. Appreciate your understanding. ^MO",Other/Unclear
amazon should stop leaving our packages at the front door... I just got home and saw my package all open... at least nothing was stealed,"@236683 Hi, Christine! Just to clarify, your order was ok? Nothing was missing or damaged? ^RB",Delivery Issue
"@AmazonHelp 'Wait' - and if I don't see any progress in a few days then to source from elsewhere. That is great because obviously under Subscribe and Save I will not be able to cancel the order anyway!

It 'might' get to me tomorrow, which is the date it has been due all month. https://t.co/36m8QJxx1Z",@130675 Sorry to hear your order is delayed. If you have not received your order by the revised delivery date please let us know.^ES,Refund/Return Request
@115830 Why do you use #Hermes for delivery? Parcel on their website says 'delivered and signed for' - actually thrown over 9 foot fence,"@805150 So sorry about this, Helen! We'd like to look into this in more detail with you. When you have the chance, please reach out to us here: https://t.co/JzP7hlA23B so we can investigate this for you. ^VB",Delivery Issue
@AmazonHelp I am cancelling the order. It's too much! Have received no response. Congratulations u have lost a customer!,"@350222 I'm sorry for the disappointment, could you confirm sharing your details here: https://t.co/GIJyeYqKE0? ^MJ",Refund/Return Request
@115821 y’all delivered my shirt to some address in New Jersey. Wtf.,@306294 Sorry to hear that. Does the tracking mention a carrier delivering it? ^PK,Delivery Issue
@AmazonHelp Registered my complain 4 times to your customer support yet no sign of product delivery.,"@351907 However, to gain access to your account, your details should be provided in the link shared 2/3 ^MJ",Delivery Issue
@115821 I understand shipping to Puerto Rico is now behind but orders not shipping after 2/3 weeks? Expedition taking weeks...,@122104 Apologies Siobhan. Have you been provided with revised delivery dates? ^TP,Delivery Issue
"@AmazonHelp Yes, and missing from last 4 days....",@352833 Apologies for the delay. Please share your details here: https://t.co/GIJyeYqKE0 and let us know. We'll sort this for you. ^VN,Delivery Issue
@AmazonHelp Hi there. My order was meant to be delivered today and now says delivered Monday? and I paid £6 for delivery today?,@345382 Letting you down is never our intent! Please reach us by phone/chat to explore options together: https://t.co/JzP7hlA23B ^MV,Delivery Issue
