customer_message,amazon_reply,true_intent,should_escalate,notes,my_predicted_intent,trivial_predicted_intent,simple_predicted_intent,my_predicted_escalate,intent_correct
"@AmazonHelp After tweeting you yesterday i got a tracking number from the seller YAY...They arrived this morning...YAY.....But oh dear it wouls seem lessons were not learned that ""Fragile"" tape does not posess mythical powers of protection and the content","@689941 Hi Scott, sorry to hear your order was received damaged. Have you contacted the seller to let them that this happened? Please let us know what their response is ^BZ",Damaged/Defective Item,True,,Damaged/Defective Item,Delivery Issue,Other/Unclear,False,True
"@AmazonHelp If I give negative ratings as product reviews according to my experience, Amazon mailed me it can't be posted. Why so?",@170990 If the review doesn't adhere to the guidelines as mentioned here: https://t.co/S8rTUEy8Gb and we'll reach out. ^MS,General Product/Service Question,True,,General Product/Service Question,Delivery Issue,Billing/Charge Issue,False,True
@AmazonHelp despite good customer service at your level your delivery company is the rudest most ignorant bunch I've ever encountered. Twice you have sent me a parcel thru them. Twice they say it was delivered and it has not been. It wasn't stolen as they,@663182 Oh no! I am sorry for the trouble you are having. We would love to assist you in real time. Please contact us here: https://t.co/vaBCwZCv2A. ^LM,Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
@AmazonHelp Having issues with the language settings on Alexa. I had bought this in the US and not able to change language to English India. Please help,"@174520 Apologies for the delay in getting back to you. Could you please confirm, if the issue with your Alexa is resolved? Do keep us posted. ^SV",General Product/Service Question,False,,General Product/Service Question,Delivery Issue,General Product/Service Question,False,True
"@AmazonHelp By Amazon, its the new Kindle Fire",@466457 Could you try to phone us again here? https://t.co/JzP7hlA23B We can look into this in real-time. ^TK,General Product/Service Question,False,,Other/Unclear,Delivery Issue,Billing/Charge Issue,True,False
"@AmazonHelp Spoke to 3 of your customer support agents, they each told me that the previous agent lied. Unacceptable, no more prime for me.",@419461 I'd like to have a member of my team look into this for you. Please provide order details here: https://t.co/2doMGyOAxo ^MB,General Product/Service Question,True,,Other/Unclear,Delivery Issue,Delivery Issue,True,False
@AmazonHelp Who can I call ?,"@235043 Symon, if you click the link provided by AP, skip to #2, enter your issue, and the options to phone, chat, and e-mail will populate. You can choose any of the three but e-mails can take up to 24 hours to be responded to. ^VF",Other/Unclear,False,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
"@AmazonHelp @115850 
10% cashback on Email Gift Card is such a scam...cashback of which should have received in 10 days has not received in 20 days yet. Contacted Customer Care for 3 times in 10 days. No Resolution.
Fake Commitment","@677448 Sorry about the pending cash-back, Rajat. Kindly fill in your details here: https://t.co/GIJyeYqKE0 and we'll get this checked for you. ^PB",Other/Unclear,False,,Billing/Charge Issue,Delivery Issue,Delivery Issue,True,False
@115821 @115830 @AmazonHelp @123644 @139249 @131469 is this safe? https://t.co/KL3en0JPPK,"@353334 Hi, that account is not official. Please do not reply to them. ^JJ",Account/Security Issue,False,,General Product/Service Question,Delivery Issue,Damaged/Defective Item,False,False
@AmazonHelp Not accepting password at min so waiting to reset. X,"@720949 Hello, here is a link to reset the password:https://t.co/88OaGgsvmF ^CR",Account/Security Issue,False,,Account/Security Issue,Delivery Issue,Other/Unclear,True,True
@AmazonHelp Last night I used a work pc and today I used the App on my mobile. I was told this morning I just have forgotten to purchase properly yesterday. So Iâve tried again and the same has happened. I want the fitbit charge2 special edition in lila,"@802832 Thanks for that information, Carla. We're unable to access your account via Twitter, but we're here to help! Please get in touch with us here for further assistance: https://t.co/JzP7hlA23B ^RB",Account/Security Issue,True,,Order Status/Tracking Inquiry,Delivery Issue,Other/Unclear,True,False
@AmazonHelp what is AMZL US and where is my package?,@658221 We're always happy to help! More information about Amazon Logistics can be found here: https://t.co/4tJtLWYltS Could you tell us the latest tracking update on your delivery? ^ML,Order Status/Tracking Inquiry,False,,Order Status/Tracking Inquiry,Delivery Issue,Delivery Issue,False,True
"@AmazonHelp hi, can you give me some advice on a return? If I DM the order number, would you be able to give me some details about return?",@126981 We'd like to help! Were unable to access accounts via Twitter. You can view return options here: https://t.co/ZsqcXvd14n ^KP,Refund/Return Request,False,,Refund/Return Request,Delivery Issue,Refund/Return Request,False,True
@115850 What a pathetic service!!Trying to call customer service for a long time but itâs not getting connected!Plus poor chat response!,@443164 We'd like to help you. Could you tell us more about the problem you are facing? ^HA,General Product/Service Question,True,,Other/Unclear,Delivery Issue,Other/Unclear,True,False
@AmazonHelp No problem Amazon.  I dont need any kind of help.  Keep Cheating People,@215144 Sorry for the disappointment. Unless you reach out to us using the link provided earlier we won't be able to offer (1/2) ^KA,General Product/Service Question,True,,Other/Unclear,Delivery Issue,Other/Unclear,True,False
"@AmazonHelp Another thing. Not only for the above listed ones, subtitles are not working for any other series or movies. Just now checked them.",@172659 Thanks. We'll have this checked internally. ^YP,Other/Unclear,False,,General Product/Service Question,Delivery Issue,Other/Unclear,False,False
@AmazonHelp Yes three times called only give assurance soon wil be delivered #need refund,"@563460 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.(3/3)^MO",Refund/Return Request,True,,Refund/Return Request,Delivery Issue,Delivery Issue,False,True
Can't believe I pre-orderedy my copy of Sorcerer and Amazon didn't deliver it. Now it's out of stock. A sad day. @49597 @115830,@517118 I'm sorry you didn't receive your item. What's the status of your order? You can check here: https://t.co/aaDyEz1VgE ^FJ,Order Status/Tracking Inquiry,False,,Delivery Issue,Delivery Issue,Delivery Issue,False,False
@115850 why am i charged $10.99 for prime membership every month when i have purchased it for INR 499?,@119974 Please connect with us here: https://t.co/00q4Sqj9zL and we'll assist you on how to proceed further. (2/2) ^KA,Billing/Charge Issue,True,,Billing/Charge Issue,Delivery Issue,Billing/Charge Issue,True,True
@AmazonHelp Still i am waiting for your revert.  Have no clue why you are guys are talking so much of time to deliver. If you guys are not able to deliver kindly refund my money. Please update me on priority.. Have shared all details in link along with my,"@145395 I get your disappointment, Sunil. We have responded to your query here: https://t.co/QxWoyTGrO3. Request you to check and respond for further assistance. ^NK",Delivery Issue,True,,Refund/Return Request,Delivery Issue,Refund/Return Request,False,False
@AmazonHelp What about the fact that ALL Prime orders showed up as âdelivery on Mondayâ yesterday instead of the weekend? Did you underestimate the Black Friday orders? Is there a âPrime Delivery Guaranteeâ like on the States because this keeps ha,@295853 Since we are in a busy period some orders have extended delivery window: https://t.co/BDQxGv8cF5 ^MA,Delivery Issue,False,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
"@115850 waste services by Amazon ,told that they will solve issue within 48hrs ,but no action against cod orders of my account,9494967194","@283411 Please don't provide your contact details, we consider it to be personal information. 2/2 ^SY",General Product/Service Question,True,,Other/Unclear,Delivery Issue,Billing/Charge Issue,True,False
"@AmazonHelp 
My Amazon Dot keeps saying that I donât have a playlist that I want to play in my music library even though I am saying it right and when it repeats what Iâm saying it knows what Iâm on about but canât find it. Help","@662020 I'm sorry it's not working as intended. Did you try this command: ""Listen to my [title] playlist""? If yes, then also check these tips: https://t.co/ffEHbWes4a. I hope this helps. ^MG",General Product/Service Question,True,,Damaged/Defective Item,Delivery Issue,Billing/Charge Issue,False,False
"@AmazonHelp please, why is it so tough to get your Echo to recognise @33237 !!
Help...","@189201 We're always looking for ways to improve, please forward your feedback here: https://t.co/pHVEwZoaHg ^AG",Other/Unclear,False,,General Product/Service Question,Delivery Issue,General Product/Service Question,False,False
"@137341 Jeff Bezos, you should be ashamed. You people have looted in India. You are cutting public pockets. You are not ashamed https://t.co/RLbdXelBEU",@170829 The resolution provided over email is the best we could offer. We wouldn't be able to provide any further insight on this.^GK,Billing/Charge Issue,True,,Other/Unclear,Delivery Issue,Other/Unclear,True,False
"@115821 This company is the worst there Prime is a joke. I rarely get my items prime, it says prime 5 to 7 days later, ""Prime""",@753202 I'm so sorry for your experiences. Are you facing this issue with a current order? We'd love to help out! ^MH,General Product/Service Question,True,,Delivery Issue,Delivery Issue,Delivery Issue,True,False
".@115850 If you guys can't honor no cost EMI, why offer it? Don't hack my orders and change them to your convenience #scam #ecommerce","@441121 That is quite a remark, Yashsavi. Could you let us know what went wrong so that we can assist you accordingly ? ^KS",Other/Unclear,True,,Billing/Charge Issue,Delivery Issue,Billing/Charge Issue,True,False
@115850 @AmazonHelp never faced poor service when wasn't a prime member. Very bad!!,"@424760 That's quite a remark, Yogesh! Could you let us know what went wrong? We'd like to look into it. ^HD",Other/Unclear,True,,Other/Unclear,Delivery Issue,Delivery Issue,True,True
@115850 @115821 you lost your Prime Customer today !!!,@218633 Could you please tell us if we've missed anything? ^HN,Other/Unclear,True,,Other/Unclear,Delivery Issue,Delivery Issue,True,True
"@AmazonHelp  I ordered a book this summer, it says that it was delivered on November 7th, I'm in Rome, what should I do?",@672171 Did you place the order on https://t.co/ykTUEmdsQA or Amazon.it? ^GA,Order Status/Tracking Inquiry,False,,Delivery Issue,Delivery Issue,Order Status/Tracking Inquiry,False,False
"@115821  @AmazonHelp  @139798 

Still not received my refund from the 27th of july. I have made a complaint to the financial ombudsmen. Maybe the sun can look into Amazon for us customers that are getting ripped off and not getting refunds!",@353868 I'm sorry for the trouble this has been for you; have you had a chance to contact our support team? You can contact us using this link: https://t.co/JzP7hlA23B ^WM,Other/Unclear,False,,Refund/Return Request,Delivery Issue,Refund/Return Request,False,False
@AmazonHelp already done it.! but every time your agent give me different statement. Please solve this ASAP.,"@186973 We'd like to take a closer look at this, please drop in your details here: https://t.co/GIJyeYqKE0 and we'll sort this out. ^MS",Other/Unclear,True,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
@AmazonHelp Can I just get another one shipped?,@420481  Oh no! I'm sorry that your shipment was damaged. Was this shipped by Amazon or by a 3rd party? ^LM,Damaged/Defective Item,False,,Other/Unclear,Delivery Issue,Order Status/Tracking Inquiry,True,False
"Hey @115830 
I ordered this like 3 DAYS ago; and itâs here already? 
From the UK? 
All the way to South Africa? 
Damn you guys are good! https://t.co/5EcprQww9Y","@294823 Ohhh, that was fast...!!!^CD",Other/Unclear,False,,Other/Unclear,Delivery Issue,Delivery Issue,True,True
@AmazonHelp last time u gave me this.. nothing special hapnd.they always refuse for compensation..becoz of your policies,@336585 We apologize for the disappointment caussed here. Please drop in your details in the link shared earlier and we'll get back to you with the best possible resolution. ^AS,Other/Unclear,True,,Refund/Return Request,Delivery Issue,Other/Unclear,False,False
@AmazonHelp There was nothing on my door about the order and the carrier is USPS,@237232 Mhm that is interesting! Let's try a couple of these steps and see if it helps us locate it: https://t.co/uYkl9gAScZ ^LS,Delivery Issue,False,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
@115821 customer services is shocking regarding two broken items,"@222540 Sorry to hear that, what options were provided to you by Customer Service? ^CH",Damaged/Defective Item,True,,Damaged/Defective Item,Delivery Issue,Delivery Issue,False,True
@AmazonHelp your support is appalling! Every email I reply back to its the same template.... If you want this issue resolved I suggest you actually get me through to someone who doesn't like pasting templates!,"@706113 I'm so sorry you haven't received a resolution! Without sharing account info, can you tell us more about what's going on? ^JO",Other/Unclear,False,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
@AmazonHelp day three... still no delivery. Can I get a refund on the same-day shipping please?,"@530544 Oh my! This is not the experience we strive for you to have with us! Have you been able to reach out via phone or chat about this order? https://t.co/hApLpMlfHN. If so, what has been advised? ^AL",Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
"People please be aware ,there is no customer support @115850 and @AmazonHelp 
#UNINSTALLAMAZON",@133250 Please check in the important messages tab to find the email correspondence which was sent from us and reply to that with your concerns. We'll assist you further. ^SC,General Product/Service Question,True,,Other/Unclear,Delivery Issue,Delivery Issue,True,False
@AmazonHelp I think I received a double order. Which is great (!) but I didn't pay for 2 of everything. How do I return for free?,"@266391 We will be happy to help out with that! At your convenience, reach us using this link: https://t.co/hApLpMlfHN ^CH",Refund/Return Request,False,,Refund/Return Request,Delivery Issue,Refund/Return Request,False,True
"@AmazonHelp No email. Ordered a number of items. My screen shows ordered 30th October, arriving 3rd November  as per photo. There is a birthday present in with this order. Happy to cancel and go to shops for it but need to know when itâs being shipped. ",@465797 I'm sorry the order hasn't been shipped yet! Please reach out here: https://t.co/JzP7hlA23B so we can look into this. ^AH,Order Status/Tracking Inquiry,False,,Order Status/Tracking Inquiry,Delivery Issue,Refund/Return Request,False,True
@AmazonHelp Where is the link i don't find it,"@628422 Please click here: https://t.co/JhY5mxMxuB, to find the link and fill your details in it so we can check it for you. ^NR",Other/Unclear,False,,Other/Unclear,Delivery Issue,General Product/Service Question,True,True
"@119625 Still no support for #Chromecast ð
How pointless is this?","@242520 You can watch Prime Video on 2015, 2016 and all latest smart TVs from Samsung, Sony, and LG. We don't have any announcement about Prime Video for chromecast other living room devices, but stay tuned. ^KK",General Product/Service Question,False,,General Product/Service Question,Delivery Issue,General Product/Service Question,False,True
So how am I meant to log in? @115821 https://t.co/b3IwkHCSFW,"@282020 Hey there, Paige! I'm sorry, but I'm not following. After creating the password are you asking how to get to this screen? ^TM https://t.co/TalRcvFX4n",Account/Security Issue,True,,Account/Security Issue,Delivery Issue,Damaged/Defective Item,True,True
@AmazonHelp Book was released on 10/17 and the status has been ânot yet shippedâ since then.,@313954 Some orders ship and arrive in the same day! We do still expect your book to arrive between 10/23 and 10/24 as expected. ^BE,Order Status/Tracking Inquiry,False,,Order Status/Tracking Inquiry,Delivery Issue,General Product/Service Question,False,True
@AmazonHelp you  cheaters when will you refund the same,"@183370 Sorry for the disappointment. If you've replied to the email received from our team, we'll check the issue and reach out. ^KA",Refund/Return Request,True,,Refund/Return Request,Delivery Issue,Refund/Return Request,False,True
@115850 cheated with me plz return my money.. https://t.co/1thz6uovWa,"@144968 We've responded to your query here: https://t.co/3jMxfLo4u2 Kindly check.
Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^SY",Refund/Return Request,True,,Refund/Return Request,Delivery Issue,Refund/Return Request,False,True
"@AmazonHelp I preorder it earlier today, how long does the beta code normally take to come through?",@158502 You should receive it within 24 hours of placing your order. ^KH,Order Status/Tracking Inquiry,False,,General Product/Service Question,Delivery Issue,General Product/Service Question,False,False
@AmazonHelp I am fine with personal information.I need public to know consumer harassment which your team does not care of!!,"@337992 For account security purpose, we suggest you not to share any personal or order info here. ^SB",Account/Security Issue,True,,Other/Unclear,Delivery Issue,Other/Unclear,True,False
gaganagrawal: Dear amazonIN why not ship books with a #bookmark ? Most other #ecommerce sites like Flipkart do! #justathought #justasking,@242004 This shall be taken as feedback and be shared internally. ^KK,General Product/Service Question,False,,General Product/Service Question,Delivery Issue,Other/Unclear,False,True
@AmazonHelp No.,"@354443 Turhan, I'm sorry that you didn't catch the charge when it was first done. How many paid subscriptions were accessed via the Fire Stick? Did you or anyone in your house activate a subscription with a free-trial? 
https://t.co/69uBLxgQaw ^SY",Other/Unclear,True,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
"@115850  , it doesn't feel like #prime, when replatedly the guaranteed delivery dates are missed. ð¥",@184615 Extremely sorry! We've taken this as feedback and forwarded it to our team internally.  1/2 ^SB,Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
@115850 how can not available Micromax Canvas Infinity Not Sale @14523,@125123 I am afraid I was not able to comprehend your query. Could you please elaborate your query so that we can assist you. ^KS,Other/Unclear,True,,General Product/Service Question,Delivery Issue,General Product/Service Question,False,False
@AmazonHelp The customer service exec told me yest that deliveries are done till 10 pm. So you guys are either lying or trying to fool your customers,"@366269 I'm sorry for the miscommunication, Sumedha. Orders are delivered till 8pm in the evening. However, 1/2 ^MK",Other/Unclear,False,,Delivery Issue,Delivery Issue,Other/Unclear,False,False
@115821 any dates on when is prime coming on @115858 TV?,@648930 Currently we don't have an update on the same. Please stay tuned for further updates. ^SB,General Product/Service Question,False,,General Product/Service Question,Delivery Issue,Delivery Issue,False,True
I really just need help updating my Amazon Fire stick,@489710 Please try the Amazon Device Support help page. This can be found here: https://t.co/4jweLEbwvc Please keep us posted! ^LM,General Product/Service Question,False,,General Product/Service Question,Delivery Issue,Other/Unclear,False,True
@AmazonHelp I placed it on .com and used a different address (US instead of Canada because I'll be there for thanksgiving) same credit card as my .ca though. the email was from account alert.,"@167357 Thank you for confirming, Shayan! Have you responded to the e-mail from our Account Specialists? That would be the fastest route to resolving this situation for you. ^AZ",Account/Security Issue,True,,Account/Security Issue,Delivery Issue,Billing/Charge Issue,True,True
@AmazonHelp thanks! Have some downloaded but tablet only has 16gb storage was hoping to be able to put on SD card like Netflix titles,"@508312 You sure can! Please see the ""To manage your preferences:"" section here: https://t.co/GDpQFt2ubf for more info. ð ^LB",Other/Unclear,False,,General Product/Service Question,Delivery Issue,Other/Unclear,False,False
@AmazonHelp Thanks. Filled out the form. Thanks!,"@326257 Any time! Let us know if you have any more questions, we're happy to help. ^DW",Other/Unclear,False,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
".@115830 @AmazonHelp whereâs my delivery, should have been here hours ago??",@487999 Did you order with Express Delivery? Do the tracking details still indicate it's arriving today: https://t.co/aaDyEz1VgE? ^MG,Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
The Bea5t has arrived. Thanks @115850 to deliver right on time within 24hrs of ordering. Looking forward to experience @132995. Never felt so enthu in a while back for any gadget.,@264893 That's awesome! Did you unleash the Bea5T yet? ð ^VN,Other/Unclear,False,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
"This is taking way too long to arrive, @AmazonHelp. Iâm unable to cancel this order, too ... how do I cancel this? https://t.co/LEgI1yW3Rh",@387613 Please contact us here: https://t.co/vlvfJr4nN9 and we'll help you with the cancellation of the order. 1/2 ^RS,Delivery Issue,True,,Delivery Issue,Delivery Issue,Refund/Return Request,False,True
@AmazonHelp where's the stream on prime I can't find it. Does it not work in Canada?,@316609 Currently Thursday Night Footbal is not available form Prime Video in Canada. ^DO,General Product/Service Question,False,,General Product/Service Question,Delivery Issue,Other/Unclear,False,True
Dear @115850 give instant cashback discount most of storezz giving instantly discount on credit debit card except @AmazonHelp,@318776 our services and working towards a good customer experience.  (2/2) ^VM,Other/Unclear,False,,Billing/Charge Issue,Delivery Issue,Billing/Charge Issue,True,False
@AmazonHelp Done,@174119 Thanks for sharing your details with us. We'll be contacting you with an update soon. ^ZH,Other/Unclear,False,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
"@115821 @115850 IS THIS A JOKE! When I called customer care, they offered me a refund! I DON'T NEED A REFUND!  I NEED MY PRODUCT DELIVERED TODAY!!!!!!","@546520 I'm sorry, please fill this form: https://t.co/beaaDm0muc and we'll get back to you soon. ^SI",Delivery Issue,True,,Delivery Issue,Delivery Issue,Refund/Return Request,False,True
