customer_message,amazon_reply
@AmazonHelp My contact Num is 9810666443!! Correct your follies!! DONT ASK ME TO FILL OUT FORMS FOR YOUR POOR OPERATIONS! #amazon #india #news #stupid,"@343714 Apologies! This being a public platform, we wouldn't be able to check your order/ account related info. (1/3) ^SV"
"Hey @AmazonHelp! Any idea why I just received two order history reports? I never requested them, and they came in one minute apart. Glitch on your end?","@675142 Order history reports are only sent at your request. If you haven't requested a report, I would suggest to change your password on your account. More information can be found here: https://t.co/ykoPAZwmf1  ^JP"
@115830 @AmazonHelp any help on an order that hasn't turned up ? #AmazonPrime,@236058 Thank you for reaching out to us; what is the current order status showing when you review your order details: https://t.co/aaDyEz1VgE ^WM
"@AmazonHelp @115850 
Now denying a refund ...

ORDER # 406-9675800-8579560 https://t.co/HHl9uKQoUa","@130724 Sorry for the experience you had, Parth. Please drop your details here: https://t.co/beaaDm0muc and we’ll contact you at the earliest. Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^NK"
@AmazonHelp Understand that 90% of customers in my situation would have taken the refund and given up. I'm giving amazon a third attempt to get it right,"@132485 We've responded to your DM, please check ^KA"
I think @115821 has a glitch: https://t.co/cOSkylUaCx,"@604734 I'm thinking you're correct, Monika! Thanks for bringing this to our attention! We shall escalate this promptly! ^FR"
"@AmazonHelp Iam not happy with your service, worst people in Chennai customer care service,your delivery service is poor now",@351660 Write to us here: https://t.co/GIJyeYqKE0 &amp; we'll take necessary actions to make things right. 2/2 ^MJ
@AmazonHelp @115821 Now I have to reschedule and wait without knowing if he will show up this time or not. I trusted @115821 and now I am out of options.,@346149 Thanks for the info. Please keep us posted on that appointment. We want to make sure they arrive. 1/2
"@AmazonHelp Didn’t know I needed to. Is that really a thing?! But still Prime shipping should be 2 days, correct?","@118078 Yes, Release-Date Delivery is definitely a thing and the Amazon Prime two day shipping does mean two days after processed. ^CN"
Even driving license arrives faster than your package. Order ID #403-7116570-898-6750. @AmazonHelp @4030 @2156 @118342 @115851 @115850 https://t.co/h4b2SRkf64,"@466766 We ship the products to meet the estimates. Please wait till the estimated delivery date for the delivery. Also, please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^NK"
"@AmazonHelp Done 👍
2 Forms within 7 days for your wholly owned logistics ATS certainly speaks something indirectly.",@184612 Thank you for writing back to us. We will get back to you soon. Appreciate for your patience. ^BV
Trying to find a place to download Net Galley books when my Kindle app isn't working is incredibly frustrating,"@777161 Hey, Taylor! Sorry to hear your Kindle app isn't working. Have you tried uninstalling then reinstalling the app to see if that solves the problem? ^RB"
"@115850 i hv some big shopping plans,When does the next flash sale start ?",@383096 We're super happy to hear that! We will keep you posted regarding the next sale. ^VH
@AmazonHelp Yes it's in my default settings. It vanished about a month ago but I reset it however no change in delivery.,@399601 Check out here for more info on delivery preferences - https://t.co/zqLabf2xUy 2/2 ^TP
@120533 definitely NOT the service I was used to in the US @AmazonHelp Experience horrible!,"@648476 Hello, I have already answered your tweet. ^SM"
@AmazonHelp No. You can ignore me anyway,@323898 I get you being upset. We would really like to help you. Please share your details via link provided earlier so that we can have a look into your concern. Appreciate your understanding. ^HS
@115830 will UK pre orders for cod ww2 get pre load codes soon ?,"@123482 Hello, Tom! We would love to hep! What system are you purchasing the game for? ^JZ"
"@AmazonHelp I have gotten it sorted already, it should be here maybe tomorrow or Thursday.",@698180 Great to hear. Please keep us posted on the delivery. ^BA
"@128308 Love Amazon  Fire TV stick,  amazing picture quality,  true continuous steaming,  off course needs good Internet connection",@242151 We're glad that you are happy and we will keep adding to your happiness. ^KK
Amazon has charged me for an MP3 &amp; vinyl version of flower boy 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️,@355522 Uh oh! Were you not expecting these charges? ^LB
hi @115850 payment issues..reg no is __email__..plz do reach me latest by tomrw https://t.co/CITv9pzCzt,@175405 Kindly report this to our support team here: https://t.co/vlvfJrlYEH and we'll check this.1/2 ^HN
@AmazonHelp @119625 guys you app on web OS is pretty damn slow kindly look into it…..,"@390247 I'm sorry I was unable to comprehend your concern, kindly elaborate. ^KA"
"@AmazonHelp Yeah, but I cannot get a refund now so it does me no good.","@245815 We'd like to review your available options. When you have the time, please contact us here: https://t.co/hApLpMlfHN ^RA"
"@119625 
when will it be available in india? https://t.co/QMApFgIYlt",@203164 We're releasing this movie on 13th of October 2017. ^OS
@115850 help to buy from u.,"@395867 We'll be glad to help you on this, tell us more for further assistance. ^MJ"
@115850 I have a query regarding Manufacturer Warranty on a product. Can you please get in touch?,@392667 Request you to please get in touch with our support team using the link: https://t.co/vlvfJr4nN9 and we'll be glad to help. ^SK
"@115850 ordered 2 kindle, i must say delivery was way late and app was showing delivered yesterday but received today",@487713 We're sorry for the unpleasant experience. We've forwarded this internally. We'll work towards improving our services. ^ZH
@AmazonHelp @115850 : My issue is still pending for months now. Email: __email__,"@330913 As this issue involves multiple teams, it's taking longer than expected. I can assure you that we'll get back to you soon.  Please don’t provide your order details as we consider them to be personal information. Our page is visible to the public.^SU"
@115830 thank you for absolutely ruining the magic of Christmas for my 5 year old. Imagine her little face when Father Christmas left this in our porch this morning. 😡 https://t.co/kzqQylXHu2,"@256798 I'm sorry to hear your parcel wasn't delivered as expected, Charlotte! We're here to help in any way we can.  To clarify, was this item eligible for or selected as Frustration Free Packaging during the checkout process?  Please let us know! ^AZ"
"@AmazonHelp I am not filling anymore details anywhere,u check the registered account with email id __email__ and work on delivery of one+5","@174122 I'm sorry, we haven't received your details yet. Kindly forward your details through the link provided earlier. ^EM"
@AmazonHelp HELP! a package claiming to be delivered today and I don't know how to tell you I didn't receive it. USPS must have delivered to the wrong address,"@282892 I'm so sorry your package was scanned delivered but not receive. If you have a moment, please contact us by phone, chat or e-mail here: https://t.co/hApLpM3Ejd. ^LH"
"@AmazonHelp Amazon, your couriers ‘attempted delivery’ and failed despite me being in, and i’ve been lied to multiple times on the phone saying my item is arriving before 8pm but it hasn’t arrived. What can i do? Sick with your service",@221890 I am so sorry for your poor experience! We would like to look into this issue in real-time. Please contact us as soon as possible here: https://t.co/JzP7hlRCV9 ^LS
I really just need help updating my Amazon Fire stick,@489710 Please try the Amazon Device Support help page. This can be found here: https://t.co/4jweLEbwvc Please keep us posted! ^LM
"@115821, are you getting too big for great service? Amazon logistics is failing your company. Fed up with the lousy delivery service lately!","@123658 I'm sorry for any poor delivery experiences you've had. Without account details, can you tell us more about what's happened? ^RA"
@AmazonHelp Not yet delivered. No tracking details as well. Now what should I do? work or check this details. Why do we buy things online?,@374355 I apologize for this. May I know if you've contacted our support team regarding this? ^SK
@AmazonHelp Can I just restate that Netflix is working fine. I've just remembered why I dropped my subscription last time.,@358469 It may be best to complete live troubleshooting with complete access to our tools and resources: https://t.co/JzP7hlA23B ^ST
@AmazonHelp Still no assurance. Was assured of priority delivery but nothing of the sort. CS response is always the same even though it's a replacement.,@169995 Orders will be delivered as per the estimated delivery date provided. Rest assured you will receive your order. ^PS
"@115850 having bad experience to purchase from u please refund my money, it's already 2 month, wake up. 9780362385","@281473 We have already responded to your concern. Please check your response here: https://t.co/C6rB3uzM0y. Please don't provide your details, we consider it to be personal information. Our page is visible to the public. ^JS"
"@AmazonHelp I ordered the same exact shoes from the same seller twice and received men’s shoes the first time, and women’s shoes the second time. This is my third order of the same product so I’m hoping I get the right shoes. I want to wear them on my birthday :(",@820877 Were both of these orders shipped/fulfilled by Amazon? You can find that information here: https://t.co/Y5jpI9gRhE  ^FJ
@AmazonHelp App works great on Android phone.,@274549 We would like to help you further with this. Can you please contact us directly:  https://t.co/hApLpMlfHN.^BZ
@AmazonHelp Kindly help me get this returned ASAP as my vacations are over and I hv to return tomorrow to my work in a diff. state. 3/3,"@363314 I'm sorry for the return issues. To confirm, which website was the order from? https://t.co/nUUp5MLhYl, .ca, .co.uk? ^BH"
"@115821 Flex drivers are too stupid find where they should deliver a package. Hire professionals, not the unemployable.",@702040 I'm so sorry you've had a poor experience with us. Are you having an issue with a current order? ^HS
@AmazonHelp @115850 my friend have ordered order # 402-9757954-5569134 a shirt but he received different color at the time of GIS.,@402577 I get you being upset. Please fill this form: https://t.co/beaaDm0muc and we'll have this check for you. Please don't provide 1/2 ^NK
Waits 2 weeks for an @115821 order that never arrives. Ask for a refund. They agree. Buy item from another vendor. Original vendor decides to resend canceled order &amp; they both arrive tomorrow. https://t.co/pDl82Rlfvj,@144788 Oh no! I'm sorry you have a duplicate order on the way! You can easily arrange for a return of the additional order here: https://t.co/Nu2tZJ01mq ^BN
has amazon changed their return process? both the items in my order are defective &amp; I have to pay for the return postage...,"@525438 Just for clarification, were these items sold/fulfilled by a third-party seller or Amazon: https://t.co/aaDyEz1VgE? ^WM"
@AmazonHelp That worked. Thanks!,"@283086 No problem, that's what we do! Thanks for letting us know and have a great rest of your day. ^EM"
"@AmazonHelp I have a working debit card, but Amazon keeps denying it. I update payment, and nothing changes. What should I do???","@254054 I'm sorry you're having trouble getting your payment method processed! This could be due to a number of things, including incomplete or incorrect billing information. You can find some tips here: https://t.co/msqjRVMiyH ^JP"
@AmazonHelp Don't have any cash on me guys that's why asked for the card swipe option. Pls make it available. Or else will have to ask guys to come tmrw,"@193280 As mentioned, we'll do our best but we'll not be able to promise the availability. ^HK"
Hey @115821 consider using envelopes maybe? https://t.co/e0nYGSOyBB,@701779 So sorry about the excessive packaging! We would like your feedback here: https://t.co/mOkbmvV9pa ^LS
Selected evening express #primemember package due to arrive 2nd Oct hasn't arrived yet. Customer care has no answer @116316 #amazonprime https://t.co/gaSb519I96,@169810 Please get in touch with our customer service: https://t.co/YuPK6dhEDG My colleagues will check your delivery. ^AV
@AmazonHelp Hi there. My order was meant to be delivered today and now says delivered Monday? and I paid £6 for delivery today?,@345382 Letting you down is never our intent! Please reach us by phone/chat to explore options together: https://t.co/JzP7hlA23B ^MV
@AmazonHelp when should I expect my Xbox One X Project Scorpio Edition to have some sort of updated shipping?,"@438213 When you look at your order details, are you currently seeing a delivery date for this Pre-order: https://t.co/Y5jpI9gRhE? ^LR"
@148057 @115850 @AmazonHelp Was this resolved finally?,@148056 We've replied to you after receiving your details. Please check for our email correspondence and reply to it for further assistance. ^HS
"MRW amazon tells me my package carrier couldn't get into my gated community, but I don't live in one. https://t.co/1n6ivlpD6L",@335367 I'm sorry the order hasn't arrived! We can escalate this. When you have time we're avail 24/7 here: https://t.co/hApLpMlfHN ^EP
"Hey @115821 - Is it some sort of violation for merchants to send emails with a ""I like my purchase"" link that immediately posts a 5* review?","@168771 Sellers can send you an e-mail to make sure everything is alright and ask for a review, but it shouldn't auto post a rating. 1/2"
"@AmazonHelp Yes, original date was Saturday, then changed to Nov. 28.  Tracking ID 937488__credit_card__.  Thanks so much for your help.  I know it is probably the busiest time of year for y'all","@230815 Thank you for clarifying for us, we appreciate it! In this case, I'd like to have you reach us directly so we can look into this order together. We can be reached any time via phone, chat, or e-mail, here: https://t.co/hApLpMlfHN ^DW"
Listen if sum1else accepted my gift &amp; they are so shameless that they don't return it &amp; my money is wasted I am leaving u fr gud. @115850,@407748 I'm sorry about the situation. Please reach out to us here: https://t.co/vlvfJr4nN9 we'd like to help. ^SG
@AmazonHelp Oh I must be imagining the inability to watch the show I wanted to finish 🙄 thanks alotazon.,@421621 Our selection changes from time to time. Please send us any feedback or requests directly here: https://t.co/hApLpMlfHN ^JM
"@AmazonHelp  I understand that it is not intended, but for this kind of exceptional cases, you need to compensate your customers fairly.","@337088 We'll work on your comments, appreciate your understanding. ^MJ"
"Why I'm getting a ""try Prime"" option in the @115850  app despite being a prime member?",@175549 That's strange. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this out for you. ^NK
@AmazonHelp nothing of the sort. I've only gotten the automated emails from when I've tried to switch the password.,@371957 Thank you for confirming! Please contact us directly so that we can help get to the bottom of this: https://t.co/zYVX1QzD1e. ^SD
@AmazonHelp Stop this fckng rqst of asking me to fill up details on d gvn link. I hv already done that. Just see the trail of this tweet.,"@309587 I apologize for the frustration. If you haven't received any email from our team, please (1/2)^SQ"
"@AmazonHelp No, I did get it, but the delivery driver marked the order as delivered, when it was not. I was outside looking for the pkg when he drove up",@190608 Thanks for the info. Who was the carrier that delivered this order: https://t.co/q4LAMZ3tbE? ^GG
Thanks @115821 you have officially #ruinedmyholiday my gift has not arrived &amp; all your people can say is you will have to wait. spent 4 days and countless hrs...got nowhere #primesucks #holidayshopping,"@272292 I'm sorry for your experience with us today! It's never our intention to cause any frustration, as we strive to get your orders to you by the date promised. Can you tell me the current status and carrier that's shown: https://t.co/Y5jpI9gRhE ? Keep us posted! ^FR"
@115821 why don’t you ever DELIVER MY STUFF ON THE “Guaranteed” FUCKING DELIVERY DATE. Y U GOTTA LIE TO ME,@624884 We'd like to help! What was the delivery date given in your confirmation e-mail here: https://t.co/wSZ03ySEV2? ^KP
"@115850  do I need 100 bank  accounts to shop on your site. 
I needed to shop urgently. This sucks. https://t.co/vKfx57E0Zg","@162750 My apologies for the trouble, Vikrant. Here is the list of payment methods accepted by us: https://t.co/rwxg6levMQ. ^KS"
@115850 Items for me and a new box for the little guy. Thanks for making everyone happy! https://t.co/uHCkLZBD0i,"@350544 You are most welcome! When you are happy, we are happy! ^GK"
@AmazonHelp Then why say Saturday in the first place?,"@459221 Was Saturday the delivery date listed in your order confirmation e-mail? If so, did you receive a message regarding a delay? ^RA"
@AmazonHelp I believe so.  This has been a persistent (but minor) issue over multiple updates and even two different iPhones (5 and 7).,@521661 Thank you for the information! Have you tried to delete and re-install the app? ^AL
"I am a @115821 prime member, however my 2-days shipment should be called 7-days... It was suppose to arrived yesterday, but it didn't even arrive to the @115817 facility @AmazonHelp @UPSHelp I realy need it by monday!!!",@240431 We definitely understand the frustration! Delayed orders typically arrive 1-2 days after the missed delivery date. Please let us know if it hasn't arrived by the new delivery date. ^HM
"@115833   Finally got Echo in India. However, unable to update my location to Mumbai India.","@129024 That is unusual, Could you please let us know the error that you are receiving ? ^KS"
Don't ever order anything from @115830 they've taken 2 lots of 'prime' £7.99 then a further £1 out of my account when I've never agreed nor asked for prime. JOKERS!!,@257951 I'm sorry to hear that! That's definitely not our intention. Have you been able to talk to anyone on our customer support team to straighten it out? ^DY
@AmazonHelp How long for your team to get back? Don't you have a timeframe?,@134783 Our team would get back to you with an update anytime within 6-12 hours. Appreciate your patience. ^EM
@AmazonHelp Yes you could thank you,"@201320 Thank you!
^AV"
@AmazonHelp No one contacted yet .. Great Service .. NO ?,"@405401 Could you please confirm, if you've shared your details in the link shared earlier? ^HN"
@115850 I placed the order for these items but no money is debited not order placed while other two along with the same are delivered too https://t.co/h2jPlUEDe5,@505686 Sorry for the trouble. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 &amp; we'll have this checked. ^EM
"@AmazonHelp No not usually, probably didn't realise it was a flat. Eunice was really thorough with the security checks though, was worried i didn't have my passport handy!","@245498 I'm very happy to hear you were able to get your parcel! Kudos to Eunice for being such an amazing neighbor!

-RD"
@AmazonHelp I already have an account. I want to add my student email to my account so I can at least get a discount on your shipping protection racket. I'm tired of 5+ day processing delays pushing arrivals to 3-4 days after the end of the delivery estimate.,@699428 Have you had an opportunity to follow the steps in this link: https://t.co/Lih7ct19Xf ? Let us know if this helps you add your student email address to your account! ^FR
@AmazonHelp It gets better.  I had a text this morning saying t will be delivered today.  When I’m not there.  And when I’ve made arrangements for tomorrow.  To say I’m even less impressed than I was on Friday is an understatement. https://t.co/DMUVAuYV83,"@229152 Sorry to see that, Vikky. Please reach out to us here: https://t.co/JzP7hlA23B so we can take a look in to this for you.^TI"
@AmazonHelp I have still not received these items,@730257 We'd love to get this resolved for you! Let's take a deeper look into this with you in real-time via phone here: https://t.co/JzP7hlA23B ^ML
"@AmazonHelp There were no insights - just lots of excuses, none of which made sense. After waiting 17 mins to speak to a supervisor I gave up.",@426419 I see. What is the current tracking displaying for the order? ^DC
@AmazonHelp But I took the membership primarily to watch @15710 . Request you to please the more episodes soon.,"@667259 We have not made any announcements yet, Shubham. Please stay tuned for updates on this. ^KS"
@115821 because I has a complaint https://t.co/roHxYIbl2e,"@494044 Oh no, I'm sorry to hear that.  Without divulging personal information, what seems to be the issue? ^BM"
@AmazonHelp Two most recent: 1 package lost by driver. 1 delivered opened with items missing (I grabbed package as soon as delivered so couldn't have been neighbor). The Orlando driver program needs improvement.,"@739226 This is very disappointing to hear Steven, so that our team can investigate the issue can you please click on the following and provide your details https://t.co/R55eEQwSEs ^SA"
@AmazonHelp I’ve been through this TWICE already 😡,@442051 We wouldn't have access to your account from here to best to contact directly to request an update on this. ^NV
@AmazonHelp I think you're mistaken you see this isn't Amazon Video this is PRIME Video we don't have anything like that! https://t.co/aln77IKouc,@158578 Please reach out to us by phone or chat: https://t.co/JzP7hlA23B so we can look into this with you! ^KJ
"Amazon
 We regret to inform you that the following items have been delayed:
 Josh Groban ""Noel (Deluxe Version)""",@469816 We're sorry for the delay! We're you given a reason for the delay? Who is the carrier for this delivery? We'd like to help! ^ZW
@119625  Hey Prime any chance we can watch SRK's. Om Shanti On on Prime and Secondly Search is very poor on Prime Video.looking forward for improvements,"@547288 The content you are referring to is unavailable with us, I'll forward your comments as feedback to the relevant team as feedback. ^MJ"
Anyone else having problems with the @115821 app? @AmazonHelp,"@277294 Oh no, Rob! What kind of trouble are you experiencing? ^BE"
"@AmazonHelp As I mentioned, none of my colleagues have record of these purchases so I can't get that information. The credit card is in my name which will be on every order. Do you have any other solutions?","@340681 (1/2) If they purchased on https://t.co/nUUp5MLhYl, there will be an invoice under the orders in their order history. The best option here would be to have them contact us directly so we can look into their account with them and guide them to their invoices. ^DW"
"@115850 
I have pending order and trying to schedule a pickup but the page is not showing any orders. Please check and solve this ASAP.

@AmazonHelp @115851 

Contacted Seller Support, they have not replied yet. https://t.co/u4zx2nyWrK","@158381 Apologies, please fill this form: https://t.co/beaaDm0muc and we'll get back to you soon. ^SI"
"@115821 Your shipping estimates fucked me this year.  I ordered prime items a week ago, &amp; they won't make it in time. #HappyHalloween",@681460 I'm sorry for the delays! You can contact us via the link to look at options for you:  https://t.co/hApLpMlfHN ^EM
@115821 I don't recall signing up for a one year plan . Sort it out pls https://t.co/e3bSCDRHPF,"@383182 Hi, it's a phising email, not from us. Please don't submit your details. ^AT"
@129773 Really disappointed with the service unusable constant buffering couldnt watch the last 10 mins of the film wouldnt play,@196044 I'm sorry to hear about the trouble! We'd like to help. Which device are you using to access Amazon Video? ^HC
@AmazonHelp Thanks for your quick reply! I’ve spoken to customers services and it’s all sorted!,@418068 Great to hear! We are always here to help out! ^MH
@AmazonHelp @145229 @AmazonHelp the link u hv provided is of no  use. you don't even check it. worst online shopping experience.,@145230 The link works perfect. Please refresh and try again. ^SI
ordered headphones off @115821 and they sent the wrong color😒 sticker says black but the box and everything else IS CLEARLY GREEN https://t.co/HpMRs6vVLS,"@791882 Sorry, Casey! I forgot to add the link. Her it is: https://t.co/hApLpMlfHN ^AJ"
@115821 you really need todo think about changing your postal provider in Chile. They just don't like to deliver! Change dates and make no effort to come through,@656698 I'm sorry to hear this! Are you currently waiting on the delivery of a late order? ^BH
@AmazonHelp I’ve contacted you once and gotten $5 back. Twice I’ve just tossed them. They used to have cardboard around them when delivered—- that stopped them from getting damaged. Also what happened to color coded handles?,"@224022 We’re always looking to improve, and would love for our Packaging team to hear about this: https://t.co/MtvPa2Sivn. Thanks for your help!  ^ST"
@127390 My TATD book was arrived damaged from @115821 as well. #sadturtle https://t.co/Bo46HXqem4,@359372 I'm so sorry about this. Have you had a chance to look into return / replacement options here: https://t.co/FRsodhtXKJ? ^GR
Amazon still reckons my package is going to be delivered today. It’s gone 10pm Amazon. I don’t have high hopes.,"@670581 I'm sorry your parcel hasn't arrived yet. We deliver until 22:00 daily. Since it's past, have you phoned or chatted with us yet: https://t.co/JzP7hlA23B? ^AN"
@116618 Thanks @116618 and @234209 for dinner to go with my scary movie. If only Prime would tell me what I want to watch I’d be all set 😆 https://t.co/zL9CmuNsM0,"@334514 You're very welcome, I hope you enjoy it! 💕 ^JR"
@AmazonHelp Please I have an issue with my order. I have sent you a DM.,@247488 Thank you for letting us know. It looks like we have replied to your DM. If you have any other questions or concerns. Please let us know! ^AL
I️ ordered a @325211 t shirt from @115821 but instead got these two shirts for a 2 year old in the mail what do I do about this? LMAO this isn’t what I ordered @AmazonHelp https://t.co/WNdHz2guDp,@697013 I'm sorry the wrong items arrived! Was the order shipped by Amazon directly or one of our sellers: https://t.co/Y5jpI9gRhE? ^EP
@AmazonHelp No info was given to assist me. I even provided screen shots.,@397885 Please visit this Help page: https://t.co/6ViMJKcPDG for more information regarding your inquiry. ^EZ
"a month @115821 cant verify police report for missing package, told someone would call to verify the report monday. been 4 mondays i just got another ""Lashonta: I will contact the police department and verify the police report. I promise to resolve this issue for you on Monday.""","@253801 I'm so sorry for this frustrating experience! Without giving account specifics, can you tell us a little more about what's been going on? We're here to help! ^HS"
@AmazonHelp how do i get help on an order not turned up? Emailed seller three times no response,@694607 Can you contact us here: https://t.co/JzP7hlA23B? ^MC
@115830 @136314 Been listening to Amazon Music on my phone for over a year now with No issues... For the last few days it just keeps cutting out/stopping? Any ongoing issues? #SaveMyCommute #StopTheNoise,@200622 Sorry to hear about this. We don't have any known issues. Have you tried restarting the device? Or uninstalling and reinstalling the music app? ^PK
"@115851 @AmazonHelp @115850 #JEFFBEZOS  have you founded amazon india to cheat and harass innocent people of India???

Why there is no action on bad behavior of customer care??

Be honest!!! Corrupt people can earn money but not respect!!!","@147113 We'll be able to take necessary actions once we receive your details via secured link. Further, we'll not be able to provide any insight until you submit the form with requested details. Appreciate your understanding. ^MJ"
@AmazonHelp What is the update on my complaint?,"@161042 We've not received your details yet, Swaraj. Please share your details using the link provided by my colleague 'NK'. ^RS"
@AmazonHelp Is your investigation team sleeping?? https://t.co/XxCbDyJ0tb,"@518120 As mentioned earlier, please wait for an update from our team. ^PB"
"@AmazonHelp It's been more than 5 days, and more than 24-48 hours since the last promised time for resolution, still no update.

What's going on here?","@218639 We've sent you a correspondence to your registered email ID. Kindly check and revert to it, we'll take it up further. ^EM"
@AmazonHelp to my order 405-2015986-5040335 Casio watch not deliverd. Tried call /Email to amazon - didnt work.. 4 days now &amp; havnt receivd,"@402585 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^BV"
@115850 You misplaced my order stupid people ? Very poor service by you..Shame on you..Idiots..,@367689 Sorry for the trouble with your order. Could you please elaborate on your concern? We'd like to look into it. ^HD
@AmazonHelp I became a prime member to ensure I got good delivery,"@663499 I'm sorry it hasn't arrived! Unforeseen delays may occur, however, we strive to deliver your order as soon as we can. Please let us know if it misses the estimated delivery date. ^SJ"
@115821 has disappointed me twice this month. 1st a vinyl I literally and emotionally needed. Now an amp for my vinyl player. #NotHappy 😤😒,@476132 Sorry for the frustration. Are you currently waiting on the order? What is the delivery date: https://t.co/Y5jpI9gRhE ^JA
@AmazonHelp This link is not useful for my issue.,"@158536 In that case, please try this link: https://t.co/5WdhQO6alT and we'll check this. ^HT"
@AmazonHelp They told me to wait 5 business days to investigate and another 5 days for the refund..what a joke..wasted so much of my time and energy...atleast i should get some compensation,"@130706 Sorry for the stretch in investigating your concern. We do not have any compensation policy, but I shall forward this as a feedback to the concerned teams for review to make sure this isn't repeated. Appreciate your understanding. ^HR"
@AmazonHelp There is no positive correspondance from u just blindly lying to the customers,@446017 Twitter being a public platform we do not have access to your order details. (1/2) ^SI
@AmazonHelp Done waiting for your response,"@313942 Resolution provided in the email is the best. For further queries, please write back to the same email &amp; we'll get back to you.^AH"
"@115821 @AmazonHelp Logistics told me ""deprioritize"" Amazon as delivery since YOUR drivers WON'T bring orders to door, only leave at Office?",@395787 Terribly sorry for your delivery experience with us! Were you able to get this process started? ^JZ
@AmazonHelp I ordered an item which priced 7390 at that time which included free delivery and an exchange item but after 24 hours the price bill (1/3),@584423 I’d like to understand this better. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you at the earliest ^NK
@AmazonHelp This does not solve my problem.MRP means max retail price you cannot charge more than it.Please refund excess charged.,"@632924 I understand that you are concerned about the MRP difference. I've checked the details and I see that the actual price was Rs.840/- but has been provided to you for Rs. 751, which the best price as the sellers determine the prices based on the market changes. ^PR"
When you wake up and realize how shit @115830 is. Arriving Thursday is not good enough. #amazon #neveragain https://t.co/Ksca9wa8oI,@524601 Sorry to hear. Please keep us posted on the order. ^MC
@119625 please add Malayalam and Kannada movies too. There are quite lotta kick-ass movies in those languages too,@372747 Regional languages are an integral part of our content in India. We'll continue to add new content. ^NR
@AmazonHelp Undeliverable. Which makes no sense because my first package was easily delivered at 2pm but this one wasn't at 6pm?,@120923 My apologies Erin. Has any re-delivery attempt information been provided? ^DC
"@14249 yesterday my prime order was meant to be delivered yesterday before 8pm it was rescheduled last night at 8pm to 9pm then rescheduled to today i only knew by checking the app, how can i tell if my orders are coming today ? i have a prime student account btw.","@722748 Hi Roxanne, I'm sorry your package was delayed. Was yesterday the original delivery date? What does the tracking currently say? ^KK"
"@AmazonHelp @115850 @AmazonHelp  After contacting 8th time with your customer service, I didn't get any proper answer. I am very pissed by the services you are offering.
Refer attachment to see how responsive amazon guys are to resolve customer issues, no co-ordination with the logistics😠 https://t.co/Pwb6yAnh3b","@660337 We're sorry about that, Prabhat. We realize the importance of this order or you. Please share your details here through this link here: https://t.co/beaaDm0muc, and we'll get back to you at the earliest. ^SM (1/2)"
"@AmazonHelp Customer care mentions that refund is processed however can Amazon prove that refund is credited or processed, if not then why ask me?",@404007 Kindly share your details through the link mentioned above so that our team would reach out to you with the information. ^PR
@115850 Everything all right with data entry guys or they came to office right after Friday celebrations. https://t.co/15la5ByKSl,@354557 Thank you for flagging this for us! We'll get this reviewed by the concern team and get it rectified. ^SF
@AmazonHelp 22 minutes on the phone with customer service and no resolution. awesome! 👍,"@395201 This definitely isn't what we strive for! Without including account info, could you tell us more about what's going on? ^ML"
"My ""adult"" coloring book was disappointingly tame. What I mean is I bought all these crayons 4 tits and ass and dick - @115821 how do you request a refund?","@146169 Hey, check out here - http:https://t.co/5RcjVPJgUP for details on how to return for a refund. ^TP"
@AmazonHelp I have no idea who delivered it. This is where it was when I came home. Would it be on the label?,@458408 I replied to your Direct Message. ^SJ
"Hey @115821 if your frustration free packaging is supposed to be ‘low-waste’, why did it take 4 boxes and 10 sheets of packing paper to mail me 2oz. of essential oils? #waste https://t.co/0hDi9eehtV","@168345 Wow, those tiny glass bottles were certainly safe! We're always looking to improve, and the best way to get that message to the fine folks that improve that process is through this link! So please let us know how we did here: https://t.co/TH7UAFZey5"
"@AmazonHelp Well here we go yet again - PRIME item ordered 11/13 never arrived. Just checked &amp; now it says arriving Wed. So now Prime is 2 days, oh 3, forget it now it can be a week. Sorry to see I can no longer rely on amazon, cannot buy gifts.",@679772 I'm sorry for the frustration! Have you received any e-mails with updates about a delay with your order? Please be sure to check your spam/junk folder as well. ^AC
"@AmazonHelp @270195 (Specific to Amazon... I know how to clear that in Chrome, etc obviously)",@270196 Thanks for reaching out to us! This help page contains instructions on clearing your Amazon browsing history: https://t.co/qbVlDDmpFz ^SW
@117795 terrible service!! So disappointing Order was never delivered.Driver was rude.Finally got some assistance from nice CSR,"@364940 I'm sorry for the poor experience! When you called, were we able to get everything taken care of? ^BH"
@AmazonHelp @115821 when are you going to ship my order to me please don’t make me cancel it 🙂 order 112-1151988-6640213,@175074 I'm sorry for any delay in delivery. What was the estimated date of delivery for your order? ^EM
"@115850 This is the condition in which I received massager I ordered - Broken, Dirty, Used. Need replacement for this ASAP.
#Amazon https://t.co/PJEJ2kho3P",@179015 I'm sorry to see the defective product that you had received. Please request return of the order here: https://t.co/3yqvLnyTxi.^SF
